""	"Axis1"	"Axis2"	"Axis3"	"sample_type"
"HMP2_J15239_1_ST_T0_B0_0120_ZW61YGW-03_AELNK"	0.800454937032998	1.62934947068789	-1.0869932584154	"IR"
"HMP2_J15244_1_ST_T0_B0_0120_ZVM4N7A-02_AELNK"	0.119173750466433	0.618853378540612	-0.22035878468838	"IR"
"HMP2_J16507_1_ST_T0_B0_0120_ZOZOW1T-62_AF11U"	1.92236683157539	-0.612095079658438	-1.38570055161868	"IS"
"HMP2_J16508_1_ST_T0_B0_0120_ZOZOW1T-63_AF11U"	0.351872290720239	-0.341181436557275	2.21246372549517	"IS"
"HMP2_J16509_1_ST_T0_B0_0120_ZOZOW1T-64_AF11U"	1.08852160583399	-0.449704445530642	1.2138300233764	"IS"
"HMP2_J16511_1_ST_T0_B0_0120_ZOZOW1T-66_AF11U"	0.369973087650649	0.220743210664034	1.92910180719159	"IS"
"HMP2_J16513_1_ST_T0_B0_0120_ZOZOW1T-70_AF11U"	1.35429826858288	-0.376183173274817	1.01450842341919	"IS"
"HMP2_J16514_1_ST_T0_B0_0120_ZOZOW1T-71_AF11U"	1.63490789734033	-0.455439092761857	0.0780018987466971	"IS"
"HMP2_J16515_1_ST_T0_B0_0120_ZOZOW1T-80_AF11U"	0.659907744088172	-0.464526705424404	2.30752834220508	"IS"
"HMP2_J16522_1_ST_T0_B0_0120_ZOZOW1T-1015_AF11U"	1.02482850046845	-0.00863930373529992	0.511268784070815	"IS"
"HMP2_J16527_1_ST_T0_B0_0120_ZOZOW1T-2001_AF11U"	1.06777848060733	-0.126707580708205	0.985385384074085	"IS"
"HMP2_J16528_1_ST_T0_B0_0120_ZOZOW1T-2002_AF11U"	1.66765382597833	-0.429962631246149	-0.121700367042717	"IS"
"HMP2_J16529_1_ST_T0_B0_0120_ZOZOW1T-46_AF11U"	0.463808409163536	0.503994922130874	0.860561746170482	"IS"
"HMP2_J16530_1_ST_T0_B0_0120_ZWCZHHY-04_AF11U"	1.15718814222326	-0.172912280994818	0.507515118221691	"IR"
"HMP2_J16531_1_ST_T0_B0_0120_ZVGW5FI-03_AF11U"	1.17250413430456	-0.434992377385841	1.020619438254	"IS"
"HMP2_J28565_1_ST_T0_B0_0120_ZN3TBJM-01_B44V8"	0.762973388639506	-0.782120532219017	0.547921892746801	"IS"
"HMP2_J28566_1_ST_T0_B0_0120_ZN3TBJM-02_B44V8"	1.21509214532206	-0.526758240017333	0.68085373464834	"IS"
"HMP2_J28567_1_ST_T0_B0_0120_ZN3TBJM-03_B44V8"	1.00693439220385	-0.0665632537328459	0.86858415809306	"IS"
"HMP2_J28568_1_ST_T0_B0_0120_ZN3TBJM-04_B44V8"	0.956957022641082	-0.454651096937084	1.4757555410281	"IS"
