SampleID	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y
pRPLC_520.3396_9.8	54623982.86	49877462	62352830.53	40624725.13
pRPLC_524.3708_10.6	22202267.14	28830060	30512467.37	16013566.6
pRPLC_526.2924_9.8	2128487.929	1492365.067	4175826.895	2896385.659
pRPLC_538.3863_10.8	116041.1664	140348.8453	143626.6453	120075.7909
pRPLC_544.3392_9.8	13874620.71	16015932.8	23607831.05	12673872.97
pRPLC_546.3545_10.1	3269379.786	3003678.8	3686402	2459922.411
pRPLC_548.3709_10.4	290709.4857	373745.6933	424691.1526	245525.1302
pRPLC_550.3864_10.7	151296.6229	256328.5067	267252.9542	156150.7413
pRPLC_552.402_11.1	49963.11857	80625.79133	83841.92632	63789.12556
pRPLC_568.339_9.8	4276101.714	3034404.933	5130268.105	4050226.343
pRPLC_572.3708_10.3	139014.0779	215209.4533	258924.8	104297.36
pRPLC_580.4347_11.8	4901.147357	50939.10687	14075.78506	17879.94144
pRPLC_647.5116_11.7	358147.8286	292330.6467	379518.2842	404554.9
pRPLC_675.5429_12.6	7643027.5	6350749.4	9569521.737	8286458.556
pRPLC_676.417_10.7	12321.25107	50668.65127	32156.55137	13529.00069
pRPLC_777.6945_7.2	201615.7786	235733.3733	170015.3737	190197.66
