HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB00529	21340.4692	188550.5826	0.834687436	0.407287077	0.787746862	-4.595119865
HMDB02759	93825.20983	775755.5392	0.822218193	0.414289125	0.791518725	-4.595119866
HMDB00574	23497.24738	594852.6518	0.818749418	0.416249914	0.791518725	-4.595119866
HMDB00024	-51654.10336	212875.3413	-0.818150904	0.416588803	0.791518725	-4.595119866
HMDB02231	91500.88832	1040582.328	0.811520066	0.420354451	0.794002852	-4.595119867
HMDB02250	89218.98311	447862.8718	0.803911441	0.424700559	0.797548142	-4.595119867
HMDB13240	-10386.26036	78872.66527	-0.785122037	0.435547953	0.799858939	-4.595119869
HMDB11553	2922.333955	25299.81616	0.779897946	0.438592784	0.799858939	-4.595119869
HMDB03331	14071.5081	531899.9303	0.77607206	0.440830619	0.799858939	-4.59511987
HMDB00177	-23861.60653	1226337.488	-0.767259578	0.446010676	0.799858939	-4.59511987
HMDB11494	17588.21094	259172.4341	0.761303473	0.44953178	0.799858939	-4.595119871
HMDB00637	115447.6194	369779.5057	0.760066244	0.450265223	0.799858939	-4.595119871
HMDB60484	22696.11363	37921.95332	0.759619216	0.450530397	0.799858939	-4.595119871
HMDB01563	2312.702018	56185.47682	0.758763378	0.451038327	0.799858939	-4.595119871
HMDB10382	3187406.418	102883850.1	0.75723919	0.451943739	0.799858939	-4.595119871
HMDB01008	126583.3972	1276779.87	0.754719181	0.453443007	0.799858939	-4.595119871
HMDB00784	5135.589469	118928.9746	0.754256198	0.453718769	0.799858939	-4.595119871
HMDB00874	290561.8691	831927.5526	0.748767812	0.456995151	0.799858939	-4.595119872
HMDB00904	-45879.66447	1090872.541	-0.740772442	0.461792431	0.799858939	-4.595119872
HMDB04827	-2072801.747	10549250.03	-0.738063256	0.463424482	0.799858939	-4.595119872
HMDB06528	193340.2577	2448193.416	0.737203881	0.46394287	0.799858939	-4.595119872
HMDB0001889	278562.6334	3073212.265	0.727546651	0.469790975	0.799858939	-4.595119873
HMDB00651	495183.4567	1648468.356	0.72224659	0.4730182	0.799858939	-4.595119874
HMDB00086	-256364.7878	1185231.152	-0.720210438	0.47426134	0.799858939	-4.595119874
HMDB00158	165302.542	4899020.657	0.718815494	0.475114063	0.799858939	-4.595119874
HMDB10393	207841.7644	3865798.052	0.715450994	0.477174313	0.799858939	-4.595119874
HMDB02302	3034527.028	4395583.384	0.714211972	0.477934289	0.799858939	-4.595119874
HMDB06695	-7519.563228	128365.5789	-0.708862851	0.481223047	0.801211568	-4.595119874
HMDB11487	162764.9247	3704877.41	0.699747933	0.486856103	0.802225896	-4.595119875
HMDB06246	2531.601104	37424.17802	0.696277928	0.489010148	0.802225896	-4.595119875
HMDB00772	2835.545425	43208.15477	0.695838527	0.489283286	0.802225896	-4.595119875
HMDB00190	735890.2198	23780146.53	0.689448256	0.493265084	0.80325072	-4.595119876
HMDB33592	40268.71061	133996.4023	0.679323507	0.49961013	0.80325072	-4.595119877
HMDB00707	-6617.341527	63069.00637	-0.677315871	0.50087355	0.80325072	-4.595119877
HMDB02226	63656.59879	1033602.788	0.677292885	0.500888025	0.80325072	-4.595119877
HMDB10357	29315.95369	549152.5418	0.674985008	0.502342556	0.80325072	-4.595119877
HMDB00162	68864.18473	994250.0425	0.668532106	0.506421603	0.805784126	-4.595119877
HMDB10384	1137868.481	29427006.91	0.662849425	0.510028517	0.807148654	-4.595119878
HMDB00251	-61267.76216	2429154.709	-0.653929711	0.515717729	0.807148654	-4.595119878
HMDB00883	121933.056	3766753.36	0.653724571	0.515848969	0.807148654	-4.595119878
HMDB00788	3865.211391	102302.7059	0.651497595	0.517274834	0.807148654	-4.595119878
HMDB00206	-2427.209144	96600.42971	-0.642920322	0.522786097	0.809676458	-4.595119879
HMDB00157	-227821.0261	4419357.38	-0.641179683	0.523908296	0.809676458	-4.595119879
HMDB29377	-175160.5782	1563966.387	-0.621468944	0.536703751	0.824853997	-4.59511988
HMDB11532	-1264.503275	22907.61293	-0.611344672	0.543338175	0.824853997	-4.595119881
HMDB10325	7617.99201	316698.6835	0.609123469	0.544799311	0.824853997	-4.595119881
HMDB11534	1922.706611	21267.85294	0.607811991	0.545662957	0.824853997	-4.595119881
HMDB33724	-6954.919277	122073.0092	-0.606545413	0.546497695	0.824853997	-4.595119881
HMDB00043	-1170967.093	42849878.27	-0.6024307	0.549213968	0.825098194	-4.595119881
HMDB13034	796.0742738	11562.55723	0.577379877	0.565896895	0.842825307	-4.595119883
HMDB00792	1785.468733	23040.5968	0.575567688	0.567113364	0.842825307	-4.595119883
HMDB00187	-7728.924766	290381.7643	-0.572490985	0.569181603	0.842825307	-4.595119883
HMDB00039|HMDB01873	-3606.82444	104976.8444	-0.567459526	0.572571819	0.842825307	-4.595119883
HMDB04824	1073.566138	21958.73144	0.565254629	0.574060581	0.842825307	-4.595119884
HMDB10395	-650787.9113	16170110.27	-0.559893037	0.577688591	0.844314095	-4.595119884
HMDB03072	183360.385	1606099.887	0.549121329	0.585010727	0.851164255	-4.595119884
HMDB11131	-103129.0539	2586970.687	-0.541533407	0.590195087	0.854856561	-4.595119885
HMDB00772	-1560.064106	31020.80135	-0.532598355	0.59632754	0.859883015	-4.595119885
HMDB00806	65566.19793	1634500.713	0.526578967	0.60047558	0.860949714	-4.595119886
