HMDB	fold_change	pval	adj_pval
HMDB06695	0.088915884	0.646943538	0.859929065
HMDB0001889	0.055351764	0.649665701	0.860008284
HMDB02823	-0.031225355	0.653193446	0.861148911
HMDB02203	-0.106724964	0.66555501	0.871883957
HMDB10325	0.062562761	0.666734791	0.871883957
HMDB60484	-0.029698603	0.672286644	0.874324908
HMDB02366	-0.122795762	0.675286044	0.874324908
HMDB00205	0.082828416	0.67731271	0.874324908
HMDB11477	0.032275848	0.679428954	0.874324908
HMDB10318	0.031334434	0.689616968	0.879811611
HMDB60015	0.076826439	0.69257624	0.879811611
HMDB00001	0.108379457	0.694268143	0.879811611
HMDB11753	-0.111120712	0.698851798	0.879811611
HMDB02302	-0.018914675	0.699667166	0.879811611
HMDB01043	-0.017731848	0.700035864	0.879811611
HMDB00888	0.066023554	0.706736949	0.882681881
HMDB00949	-0.160737338	0.707785161	0.882681881
HMDB00192	0.042040781	0.713292382	0.882876438
HMDB06246	0.0396412	0.717778215	0.882876438
HMDB10382	-0.03741039	0.718819001	0.882876438
HMDB05065	0.081807317	0.721320166	0.882876438
HMDB10392	0.093046984	0.721607986	0.882876438
HMDB31923	-0.101675931	0.732505798	0.885554322
HMDB11550	0.043987319	0.733774862	0.885554322
HMDB02203	-0.038957883	0.733850225	0.885554322
HMDB11558	-0.034088516	0.738611862	0.885554322
HMDB60038	-0.022683587	0.740215718	0.885554322
HMDB00670	0.027316328	0.741990833	0.885554322
HMDB00669	0.031589268	0.742995112	0.885554322
HMDB00904	0.040320273	0.747165284	0.885554322
HMDB00512	-0.072192412	0.748708282	0.885554322
HMDB00138	0.064979838	0.75134444	0.885554322
HMDB0000243	0.047748518	0.753954918	0.885554322
HMDB00039	-0.01994854	0.758917449	0.888153392
HMDB05060	-0.036419758	0.771488372	0.899605575
HMDB10386	-0.033057752	0.775627952	0.901179239
HMDB00562	0.017868683	0.786297762	0.903590761
HMDB00707	-0.209917378	0.788264151	0.903590761
HMDB0000518	-0.055592453	0.788353967	0.903590761
HMDB11494	-0.024455453	0.790062422	0.903590761
HMDB00907	0.05974998	0.795798902	0.903590761
HMDB03869	0.019320908	0.797165809	0.903590761
HMDB00709	-0.034768723	0.798947701	0.903590761
HMDB11539	-0.033367476	0.80008346	0.903590761
HMDB00673	-0.02266013	0.810870965	0.912583003
HMDB01539	0.07734661	0.817518615	0.916869836
HMDB00637	-0.038505107	0.822213279	0.918240771
HMDB10398	0.024931055	0.827944061	0.918240771
HMDB00070	0.029706042	0.829341354	0.918240771
HMDB00387	0.019460395	0.83453991	0.918240771
HMDB11129	0.026867896	0.835781942	0.918240771
HMDB00300	-0.01879187	0.835798101	0.918240771
HMDB00672	-0.025313787	0.842904584	0.922295979
