""	"x"
"279"	"nRPLC_165.0556_2.3"
"280"	"nHILIC_163.04_1.4"
"281"	"pHILIC_130.0862_7.6"
"282"	"pRPLC_286.1439_8.5"
"283"	"pRPLC_286.1439_8.4"
"284"	"nRPLC_495.2962_9.1"
"285"	"nRPLC_395.1897_10"
"286"	"pHILIC_219.0795_5"
"287"	"pHILIC_229.1181_10.9"
"288"	"pHILIC_229.1181_10.5"
"289"	"pHILIC_144.1018_6.7"
"290"	"pRPLC_676.417_10.7"
"291"	"nHILIC_243.0621_5.8"
"292"	"nRPLC_182.0458_1"
"293"	"nHILIC_87.0087_4.4"
"294"	"nHILIC_191.0561_8.5"
"295"	"pRPLC_269.2264_10.4"
"296"	"pRPLC_647.5116_11.7"
"297"	"pRPLC_675.5429_12.6"
"298"	"pHILIC_703.5724_5.7"
"299"	"pHILIC_731.6033_5.7"
"300"	"pHILIC_785.6497_5.6"
"301"	"pHILIC_813.6806_5.6"
"302"	"nHILIC_214.0488_7.2"
"303"	"pHILIC_302.3046_1.8"
"304"	"pRPLC_382.2719_9.6"
"305"	"nRPLC_455.2472_11"
"306"	"nRPLC_512.2683_10.8"
"307"	"pHILIC_203.1501_13.6"
"308"	"nHILIC_124.0073_8.7"
"309"	"nRPLC_514.2838_9.6"
"310"	"nRPLC_514.2853_8.8"
"311"	"nRPLC_498.2892_10.3"
"312"	"nRPLC_539.2494_7"
"313"	"nRPLC_539.2489_8.8"
"314"	"nRPLC_365.2333_9.7"
"315"	"pRPLC_181.0719_3.4"
"316"	"nHILIC_135.0299_7.9"
"317"	"pRPLC_777.6945_7.2"
"318"	"pHILIC_247.1437_5.3"
"319"	"nHILIC_111.0199_3.4"
"320"	"nHILIC_335.0495_8.3"
"321"	"nHILIC_243.0621_3.4"
"322"	"pHILIC_139.0501_7.6"
"323"	"nHILIC_151.0261_4.3"
