	logFC	AveExpr	t	P.Value	adj.P.Val	B
nHILIC_154.0621_9.6	-23861.60653	1226337.488	-0.767259578	0.446010676	0.799858939	-4.59511987
nRPLC_526.2939_9.9	17588.21094	259172.4341	0.761303473	0.44953178	0.799858939	-4.595119871
nRPLC_448.3067_8.6	115447.6194	369779.5057	0.760066244	0.450265223	0.799858939	-4.595119871
pRPLC_204.0655_4.8	22696.11363	37921.95332	0.759619216	0.450530397	0.799858939	-4.595119871
pHILIC_298.1139_4.7	2312.702018	56185.47682	0.758763378	0.451038327	0.799858939	-4.595119871
pRPLC_496.3395_10	3187406.418	102883850.1	0.75723919	0.451943739	0.799858939	-4.595119871
pHILIC_583.2539_5.3	126583.3972	1276779.87	0.754719181	0.453443007	0.799858939	-4.595119871
nRPLC_187.0976_5.4	5135.589469	118928.9746	0.754256198	0.453718769	0.799858939	-4.595119871
nRPLC_498.2892_10.3	290561.8691	831927.5526	0.748767812	0.456995151	0.799858939	-4.595119872
nHILIC_174.0883_10.1	-45879.66447	1090872.541	-0.740772442	0.461792431	0.799858939	-4.595119872
pHILIC_144.1018_6.7	-2072801.747	10549250.03	-0.738063256	0.463424482	0.799858939	-4.595119872
nRPLC_329.2487_10.7	193340.2577	2448193.416	0.737203881	0.46394287	0.799858939	-4.595119872
pRPLC_181.0719_3.4	278562.6334	3073212.265	0.727546651	0.469790975	0.799858939	-4.595119873
pRPLC_316.2484_6.6	495183.4567	1648468.356	0.72224659	0.4730182	0.799858939	-4.595119874
pHILIC_258.1097_10.8	-256364.7878	1185231.152	-0.720210438	0.47426134	0.799858939	-4.595119874
pHILIC_182.081_7.7	165302.542	4899020.657	0.718815494	0.475114063	0.799858939	-4.595119874
pRPLC_546.3545_10.1	207841.7644	3865798.052	0.715450994	0.477174313	0.799858939	-4.595119874
nHILIC_188.0716_2.1	3034527.028	4395583.384	0.714211972	0.477934289	0.799858939	-4.595119874
pHILIC_229.1181_10.5	-7519.563228	128365.5789	-0.708862851	0.481223047	0.801211568	-4.595119874
pRPLC_502.2927_9.7	162764.9247	3704877.41	0.699747933	0.486856103	0.802225896	-4.595119875
nRPLC_359.2957_11.5	2531.601104	37424.17802	0.696277928	0.489010148	0.802225896	-4.595119875
nRPLC_297.2799_11.7	2835.545425	43208.15477	0.695838527	0.489283286	0.802225896	-4.595119875
nHILIC_89.0243_5.8	735890.2198	23780146.53	0.689448256	0.493265084	0.80325072	-4.595119876
pHILIC_178.0532_7.5	40268.71061	133996.4023	0.679323507	0.49961013	0.80325072	-4.595119877
nHILIC_179.0348_2.2	-6617.341527	63069.00637	-0.677315871	0.50087355	0.80325072	-4.595119877
nRPLC_331.2644_10.9	63656.59879	1033602.788	0.677292885	0.500888025	0.80325072	-4.595119877
nRPLC_539.2494_7	29315.95369	549152.5418	0.674985008	0.502342556	0.80325072	-4.595119877
nHILIC_114.0559_7.8	68864.18473	994250.0425	0.668532106	0.506421603	0.805784126	-4.595119877
pRPLC_524.3708_10.6	1137868.481	29427006.91	0.662849425	0.510028517	0.807148654	-4.595119878
nHILIC_124.0073_8.7	-61267.76216	2429154.709	-0.653929711	0.515717729	0.807148654	-4.595119878
nHILIC_116.0716_7.3	121933.056	3766753.36	0.653724571	0.515848969	0.807148654	-4.595119878
nHILIC_287.052_8.1	3865.211391	102302.7059	0.651497595	0.517274834	0.807148654	-4.595119878
pHILIC_189.1233_8.4	-2427.209144	96600.42971	-0.642920322	0.522786097	0.809676458	-4.595119879
pHILIC_137.0457_3.1	-227821.0261	4419357.38	-0.641179683	0.523908296	0.809676458	-4.595119879
pRPLC_286.1439_8.5	-175160.5782	1563966.387	-0.621468944	0.536703751	0.824853997	-4.59511988
nRPLC_315.2541_9.2	-1264.503275	22907.61293	-0.611344672	0.543338175	0.824853997	-4.595119881
nHILIC_238.0929_7.3	7617.99201	316698.6835	0.609123469	0.544799311	0.824853997	-4.595119881
nRPLC_327.2538_10.5	1922.706611	21267.85294	0.607811991	0.545662957	0.824853997	-4.595119881
nRPLC_183.139_8.5	-6954.919277	122073.0092	-0.606545413	0.546497695	0.824853997	-4.595119881
pHILIC_118.0861_7	-1170967.093	42849878.27	-0.6024307	0.549213968	0.825098194	-4.595119881
nRPLC_312.2546_10.4	796.0742738	11562.55723	0.577379877	0.565896895	0.842825307	-4.595119883
nRPLC_201.1133_6.3	1785.468733	23040.5968	0.575567688	0.567113364	0.842825307	-4.595119883
nHILIC_104.0352_9.7	-7728.924766	290381.7643	-0.572490985	0.569181603	0.842825307	-4.595119883
nHILIC_87.045_4.2	-3606.82444	104976.8444	-0.567459526	0.572571819	0.842825307	-4.595119883
pRPLC_312.1305_2.8	1073.566138	21958.73144	0.565254629	0.574060581	0.842825307	-4.595119884
pRPLC_544.3392_9.8	-650787.9113	16170110.27	-0.559893037	0.577688591	0.844314095	-4.595119884
nHILIC_191.0561_8.5	183360.385	1606099.887	0.549121329	0.585010727	0.851164255	-4.595119884
pRPLC_359.3154_11	-103129.0539	2586970.687	-0.541533407	0.590195087	0.854856561	-4.595119885
nRPLC_297.2797_11.2	-1560.064106	31020.80135	-0.532598355	0.59632754	0.859883015	-4.595119885
nRPLC_227.2017_10.2	65566.19793	1634500.713	0.526578967	0.60047558	0.860949714	-4.595119886
pRPLC_508.3397_9.9	23260.3779	582521.2439	0.52379545	0.602398252	0.860949714	-4.595119886
nRPLC_411.127_3.6	-899.2730389	18222.68352	-0.519777572	0.605178547	0.861113086	-4.595119886
pHILIC_166.0861_6.2	-158288.9576	6614955.604	-0.49850788	0.61999401	0.878265249	-4.595119887
pRPLC_380.2561_9.4	-15432.69274	601867.975	-0.493100396	0.62378631	0.878265249	-4.595119887
pRPLC_153.0658_1.2	27123.56161	453526.2698	0.490817908	0.625390115	0.878265249	-4.595119887
nHILIC_512.2684_5.7	-45084.91467	533325.6768	-0.486657834	0.628317898	0.878557061	-4.595119888
nRPLC_377.2696_10.5	5367.936142	69705.09962	0.47654878	0.635457434	0.87929425	-4.595119888
nHILIC_214.0488_7.2	7725.476683	443265.9167	0.475891683	0.635922725	0.87929425	-4.595119888
nRPLC_514.2853_8.8	8689.778798	54353.7264	0.474354285	0.637011933	0.87929425	-4.595119888
nRPLC_257.1759_8.8	4351.775291	97108.78831	0.466416604	0.642648351	0.883299648	-4.595119889
nRPLC_199.0976_5.6	1319.971535	23883.04146	0.45918764	0.647799959	0.884073103	-4.595119889
pRPLC_510.3554_10.3	-79341.47412	2439219.973	-0.457947861	0.648685218	0.884073103	-4.595119889
nHILIC_176.0387_4.9	-2757.65531	130083.99	-0.450265968	0.654181759	0.887818101	-4.595119889
