""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ATP5A1"	-0.105646628513392	-4.62341543818333	-0.637211876104141	0.526366694256858	0.936796254169739	-5.68029513352454
"APCS"	0.0769172413303571	-1.75673656593333	0.62929533435762	0.531501033830858	0.936796254169739	-5.68495926006382
"FCN2"	-0.0933468265312498	-2.6335299024	-0.626319774225559	0.533437564207975	0.936796254169739	-5.6866974803502
"MYBPC2"	0.0616790060669642	-4.70852657613333	0.625674597043914	0.533857934898227	0.936796254169739	-5.68707329891279
"HV146"	0.0861303486160715	-3.56668630225	0.621733098511247	0.536429770135543	0.936796254169739	-5.6893609428952
"THBS1"	-0.19551779921875	-3.05654546558333	-0.612412090744402	0.542537057984309	0.936796254169739	-5.69471410389564
"MTHFD1"	0.158695487102679	-4.2592949992	0.610424718572014	0.543843798155357	0.936796254169739	-5.69584515428805
"APOA4"	-0.0638369309419645	4.92984225961667	-0.608884092432461	0.54485789590146	0.936796254169739	-5.69671945661182
"HBB"	-0.0888418833973214	2.10895362411667	-0.608574375188432	0.545061879496569	0.936796254169739	-5.6968949572865
"ATP11B"	0.0319171228705358	-1.44214148893333	0.607349632414537	0.545868890591017	0.936796254169739	-5.69758809204424
"COMP"	-0.0567702230133929	-5.19322928416667	-0.607145819086529	0.546003246766647	0.936796254169739	-5.697703305034
"SELL"	0.0624593030044646	-4.09765390401667	0.601060418048119	0.550022538393784	0.936796254169739	-5.70112571633488
"C1S"	0.0297014426473213	2.35640506448333	0.599862947104694	0.550815200426503	0.936796254169739	-5.70179516254674
"IGHA1"	-0.100731549013393	5.92641800805	-0.598001016424657	0.552048842322674	0.936796254169739	-5.70283345666282
"LV211"	0.111327349089286	-4.30758834703333	0.597444477665658	0.552417852679053	0.936796254169739	-5.70314318833068
"A1BG"	0.0405517537633928	5.1219153824	0.59164618285389	0.556269746440729	0.936796254169739	-5.70635318425209
"APOH"	0.0664043411294639	3.89665483156667	0.590940436100895	0.556739499387042	0.936796254169739	-5.70674178221308
"AHSG"	0.0486399363750002	4.9688234824	0.588734359007283	0.558209165314922	0.936796254169739	-5.70795353701612
