HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB0000895	0.023581557	6.244960187	0.599031626	0.55139868	0.816980614	-5.991086288
HMDB00641	-0.003554244	5.70177326	-0.25342993	0.800799197	0.907572423	-6.133832933
HMDB00182	0.03794591	6.712120252	2.663077636	0.009917748	0.188437208	-2.912774534
HMDB00696	0.026664108	6.311043824	1.420722795	0.160554615	0.576212674	-5.200264622
HMDB02320	-0.100238616	5.006175692	-2.947506404	0.004552362	0.130010994	-2.230465057
HMDB33433	-0.128382082	5.711297109	-1.934238779	0.05778629	0.475525885	-4.402292595
HMDB29412	-0.177843837	5.694358181	-1.679785085	0.098180348	0.52402092	-4.825394704
HMDB02038	0.131815086	6.236680866	1.73924055	0.087101946	0.500902503	-4.731314134
HMDB00159	-0.020754385	6.80949632	-0.696515286	0.488785993	0.789845474	-5.93011519
HMDB00001	-0.021949901	6.269155159	-0.808252652	0.422126578	0.748820261	-5.849148164
HMDB00517	0.023822238	7.238212044	1.391459506	0.16920505	0.577998062	-5.238956745
HMDB33592	0.030061534	4.958461919	0.36476882	0.716561843	0.891419253	-6.100418302
HMDB00158	0.015194599	6.682979406	0.711696165	0.479400901	0.789845474	-5.919807717
HMDB00206	-0.008319038	4.980783031	-0.497918013	0.620355291	0.841910752	-6.044742817
HMDB00670	0.072287186	6.134094903	1.859556702	0.067834967	0.475525885	-4.531968459
HMDB01325	-0.019912439	5.984166771	-0.527529006	0.599764543	0.83561653	-6.030043606
HMDB01539	0.016728831	6.411823063	1.239698487	0.219896153	0.602710395	-5.427462365
HMDB00929	0.022789182	7.073459985	1.447215174	0.153022409	0.574711985	-5.164589147
HMDB13124	0.123243311	5.541807918	0.998856386	0.321860984	0.737116107	-5.684009096
HMDB00824	0.071587734	6.251125476	1.059572815	0.293570359	0.718357772	-5.624328193
HMDB28783	-0.012626951	6.109433171	-0.38885128	0.698757657	0.887121319	-6.091614133
HMDB06695	-0.028585972	5.088876762	-0.852438221	0.397348426	0.742158562	-5.813885939
HMDB06695	-0.043443923	5.46780986	-1.431419964	0.15747936	0.574711985	-5.185933349
HMDB61115	-0.088230203	6.152006671	-0.824202214	0.413077164	0.742158562	-5.836630982
HMDB29159	-0.036808156	6.240564092	-1.314589204	0.193632651	0.579105057	-5.33699836
HMDB29159	-0.002671001	6.464351782	-0.154920274	0.877402241	0.939149063	-6.153380063
HMDB00086	-0.115796958	5.897662186	-1.273346606	0.207788351	0.58873366	-5.38743746
HMDB12881	0.025552605	5.324897742	0.533205322	0.595853861	0.83561653	-6.027129773
HMDB03869	0.045827485	4.792450479	2.043130027	0.045422692	0.444591806	-4.205224484
HMDB37844	0.007492874	5.014643727	0.149443864	0.881702762	0.939149063	-6.154190312
HMDB03331	0.014949685	5.721900082	0.903622718	0.369796026	0.742158562	-5.770752766
HMDB00791	0.100193905	6.605435373	1.874227198	0.065752182	0.475525885	-4.506850982
HMDB61677	-0.099017484	5.605845788	-0.415839824	0.67900536	0.873779806	-6.081082539
HMDB61677	0.06777972	4.961078888	0.853460612	0.396785938	0.742158562	-5.813048349
HMDB01563	0.018295348	4.741790303	0.826224008	0.411938514	0.742158562	-5.835027219
HMDB00269	0.042050267	5.413916294	1.891792866	0.063329692	0.475525885	-4.476547081
HMDB13164	0.213701282	5.159832548	1.554018965	0.125419941	0.553879924	-5.014577709
HMDB05066	0.043372876	5.469159892	1.123751109	0.265578334	0.680807951	-5.557567641
HMDB00222	0.058578834	5.800069682	2.739720115	0.00807873	0.163089354	-2.73411097
HMDB00848	0.049882009	5.083748283	1.461900273	0.148967509	0.574711985	-5.144549748
HMDB10397	-0.048523387	6.594038895	-0.620652167	0.537170434	0.810775935	-5.978344622
HMDB01008	0.018409784	6.058239146	0.348046693	0.729018811	0.895334889	-6.106202146
HMDB00054	0.182925235	6.186508586	1.623078329	0.109796466	0.526852841	-4.912358246
HMDB13464	-0.008500589	7.151546889	-0.209999862	0.834376646	0.919807701	-6.14361139
HMDB12088	0.045086441	6.490469864	1.402787708	0.165814762	0.577998062	-5.224067714
HMDB12104	-0.003884231	6.832988034	-0.132533932	0.895003833	0.944757142	-6.156508293
HMDB12107	0.004984412	6.931725846	0.168693159	0.866603319	0.939149063	-6.15121357
HMDB00024	-0.03485978	5.211347176	-0.479655727	0.63320968	0.849208177	-6.053388775
HMDB11749	0.085699543	5.298446307	1.063744522	0.29169132	0.718357772	-5.620103191
HMDB04193	0.026886868	5.624706615	0.660681012	0.51133641	0.79240004	-5.953578543
HMDB04193	0.01732949	5.138558883	0.387005346	0.700116515	0.887121319	-6.092308789
HMDB00062	0.004131074	5.760975	0.204275373	0.838827108	0.921568557	-6.144763797
HMDB00897	0.004900145	4.785291037	0.310045888	0.757596476	0.900089489	-6.118340683
HMDB00714	-0.243596278	5.754342487	-3.554836791	0.000743137	0.03887457	-0.610875535
HMDB01860	0.041389813	6.137834614	0.582510367	0.562397713	0.821965889	-6.000522038
HMDB0001889	0.084909113	6.426597707	1.316242831	0.193080591	0.579105057	-5.334944401
HMDB01847	0.166567899	6.491105679	2.152622211	0.035364786	0.393890548	-3.997698501
